timestamp,symbol,action,entry_price,exit_price,position_size_usd,pnl_usd,pnl_pct,holding_period_hours,regime,fill_type
2025-06-03T14:30:00Z,SOXL,BUY,38.50,,10.50,,,Bull 🚀,Maker (-0.16% Rebate)
2025-06-03T14:30:00Z,SMH,BUY,245.20,,10.50,,,Bull 🚀,Maker (-0.16% Rebate)
2025-06-18T20:00:00Z,SOXL,SELL,38.50,44.20,10.50,+1.55,+14.80%,360,Bull 🚀,Maker (-0.16% Rebate)
2025-07-02T14:30:00Z,TQQQ,BUY,62.10,,13.80,,,Bull 🚀,Maker (-0.16% Rebate)
2025-07-31T20:00:00Z,TQQQ,SELL,62.10,71.40,13.80,+2.07,+14.98%,696,Bull 🚀,Maker (-0.16% Rebate)
2025-08-15T00:00:00Z,SOL-USD,BUY,142.50,,15.60,,,Bull 🚀,Maker (-0.16% Rebate)
2025-08-29T23:59:00Z,SOL-USD,SELL,142.50,188.40,15.60,+5.02,+32.21%,360,Bull 🚀,Maker (-0.16% Rebate)
2025-09-12T14:30:00Z,AMD,BUY,152.00,,18.20,,,Bull 🚀,Maker (-0.16% Rebate)
2025-10-29T20:00:00Z,AMD,SELL,152.00,218.50,18.20,+7.96,+43.75%,1128,Bull 🚀,Maker (-0.16% Rebate)
2025-11-15T00:00:00Z,NEAR-USD,BUY,4.80,,24.50,,,Bull 🚀,Maker (-0.16% Rebate)
2025-11-28T23:59:00Z,NEAR-USD,SELL,4.80,6.75,24.50,+9.95,+40.62%,336,Bull 🚀,Maker (-0.16% Rebate)
2025-12-15T14:30:00Z,SOXL,BUY,42.10,,26.40,,,Bull 🚀,Maker (-0.16% Rebate)
2026-01-30T20:00:00Z,SOXL,SELL,42.10,58.90,26.40,+10.53,+39.90%,1080,Bull 🚀,Maker (-0.16% Rebate)
2026-03-03T00:00:00Z,DOGE-USD,BUY,0.125,,36.80,,,Bull 🚀,Maker (-0.16% Rebate)
2026-03-20T23:59:00Z,DOGE-USD,SELL,0.125,0.185,36.80,+17.66,+48.00%,408,Bull 🚀,Maker (-0.16% Rebate)
2026-04-15T14:30:00Z,TQQQ,BUY,78.20,,51.50,,,Bull 🚀,Maker (-0.16% Rebate)
2026-05-28T20:00:00Z,TQQQ,SELL,78.20,112.40,51.50,+22.52,+43.73%,1032,Bull 🚀,Maker (-0.16% Rebate)
2026-06-03T20:00:00Z,SOXL,HOLD,55.40,,89.10,+77.90,+87.43%,Active,Bull 🚀,Maker (-0.16% Rebate)
